epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.591,1.49054,3.28861,1.52596,0.03202,0.57889,0.14619,0.07237,1.09786,3.29483,1.1808,0.00017148,0.00017148,0.00017148
2,264.302,1.323,1.97711,1.30628,0.04003,0.64942,0.52843,0.36931,1.14622,2.73672,1.16087,0.000350176,0.000350176,0.000350176
3,390.297,1.24207,1.40475,1.29216,0.91476,0.40408,0.59145,0.35838,1.45841,2.62261,1.30173,0.000521516,0.000521516,0.000521516
4,520.813,1.17832,1.18045,1.24161,0.8962,0.59788,0.63584,0.44931,1.21272,1.34023,1.13374,0.0006855,0.0006855,0.0006855
5,643.297,1.15437,1.10521,1.21842,0.76006,0.68993,0.83728,0.54432,1.19424,1.19582,1.17231,0.000842127,0.000842127,0.000842127
6,771.117,1.1436,1.05436,1.21331,0.83913,0.64369,0.81411,0.51488,1.30901,1.44424,1.28825,0.000991397,0.000991397,0.000991397
7,895.615,1.13554,1.06094,1.20531,0.80926,0.77081,0.86981,0.56874,1.18628,1.42733,1.19423,0.00113331,0.00113331,0.00113331
8,1019.35,1.11179,1.00152,1.18296,0.84224,0.63744,0.83214,0.5446,1.20694,1.55043,1.22685,0.00123094,0.00123094,0.00123094
9,1140.33,1.11656,1.00064,1.1875,0.83298,0.71554,0.86974,0.57144,1.1266,1.13669,1.14336,0.00120265,0.00120265,0.00120265
10,1260.71,1.10054,0.96735,1.16001,0.81575,0.85546,0.89437,0.58486,1.18716,1.0286,1.18966,0.00117435,0.00117435,0.00117435
11,1381.99,1.10672,0.93946,1.16805,0.81802,0.81157,0.89038,0.57205,1.20413,1.17531,1.1746,0.00114606,0.00114606,0.00114606
12,1504.24,1.10679,0.95871,1.1609,0.84955,0.89945,0.91403,0.59153,1.11887,1.22816,1.10366,0.00111776,0.00111776,0.00111776
13,1627.02,1.07902,0.92572,1.14952,0.83131,0.91829,0.9291,0.63104,1.0294,0.84419,1.103,0.00108947,0.00108947,0.00108947
14,1753.06,1.08495,0.92258,1.16721,0.85343,0.86853,0.91258,0.57049,1.18358,1.20651,1.20277,0.00106118,0.00106118,0.00106118
15,1875.8,1.07456,0.9304,1.14546,0.86408,0.89246,0.92579,0.61767,1.0948,0.91846,1.14656,0.00103288,0.00103288,0.00103288
16,1996.65,1.05126,0.88058,1.13673,0.86811,0.89417,0.92477,0.63097,1.04241,0.93387,1.10823,0.00100459,0.00100459,0.00100459
17,2119.48,1.06654,0.88473,1.13565,0.87253,0.89576,0.92854,0.63689,1.02421,0.9489,1.10718,0.000976293,0.000976293,0.000976293
18,2243.84,1.02718,0.86082,1.11926,0.86477,0.90058,0.92565,0.61506,1.08184,0.96246,1.14913,0.000947999,0.000947999,0.000947999
19,2371.72,1.04811,0.85778,1.13286,0.87204,0.90398,0.92879,0.62807,1.05518,0.857,1.11513,0.000919704,0.000919704,0.000919704
20,2497.17,1.04143,0.85123,1.11584,0.86651,0.91219,0.9342,0.64077,1.04211,0.82226,1.10245,0.00089141,0.00089141,0.00089141
21,2624.88,1.02991,0.84212,1.11867,0.80232,0.93995,0.92606,0.642,1.0249,0.89654,1.09925,0.000863116,0.000863116,0.000863116
22,2747.78,1.02357,0.84122,1.11527,0.87307,0.90278,0.93398,0.64933,1.01906,0.91962,1.09941,0.000834822,0.000834822,0.000834822
23,2870.62,1.04495,0.81535,1.12109,0.88666,0.90595,0.93845,0.65137,1.00468,0.79024,1.10204,0.000806528,0.000806528,0.000806528
24,2991.34,1.0105,0.80421,1.10577,0.87138,0.90129,0.92586,0.62689,1.0606,0.91967,1.11975,0.000778233,0.000778233,0.000778233
25,3113.05,1.00942,0.80468,1.0977,0.85617,0.92453,0.93021,0.65256,0.98524,0.77367,1.07205,0.000749939,0.000749939,0.000749939
26,3236.44,1.01856,0.80239,1.10515,0.86529,0.90781,0.93431,0.65878,0.98789,0.78991,1.08342,0.000721645,0.000721645,0.000721645
27,3358.77,0.99056,0.77914,1.09576,0.8711,0.92111,0.94007,0.65851,0.97134,0.7402,1.08579,0.000693351,0.000693351,0.000693351
28,3482.77,0.99127,0.75012,1.09192,0.85801,0.93804,0.93594,0.66209,0.97991,0.74519,1.08459,0.000665057,0.000665057,0.000665057
29,3607.25,1.00645,0.77037,1.10915,0.8641,0.92057,0.93368,0.62148,1.08762,0.75498,1.1274,0.000636762,0.000636762,0.000636762
30,3729.05,0.99917,0.76845,1.1013,0.87027,0.93129,0.93818,0.64328,1.00504,0.76942,1.09539,0.000608468,0.000608468,0.000608468
31,3850.67,0.99056,0.77609,1.09807,0.90276,0.90689,0.94651,0.64871,1.02551,0.76386,1.09278,0.000580174,0.000580174,0.000580174
32,3972.84,0.97076,0.73541,1.08193,0.89828,0.92477,0.94958,0.67588,0.96681,0.7055,1.07382,0.00055188,0.00055188,0.00055188
33,4094.8,0.98277,0.74535,1.08802,0.89092,0.92265,0.95043,0.67748,0.97063,0.70061,1.07723,0.000523586,0.000523586,0.000523586
34,4219.07,0.97695,0.7351,1.09125,0.90089,0.91603,0.95078,0.67414,0.9709,0.69678,1.07026,0.000495291,0.000495291,0.000495291
35,4342.75,0.957,0.72933,1.08706,0.88773,0.92458,0.94962,0.67604,0.97171,0.70688,1.07358,0.000466997,0.000466997,0.000466997
36,4469.8,0.95338,0.73443,1.07395,0.88926,0.92625,0.94843,0.67873,0.93806,0.73334,1.06065,0.000438703,0.000438703,0.000438703
37,4591.9,0.96892,0.71947,1.09585,0.89996,0.92864,0.95098,0.67381,0.94698,0.68109,1.06895,0.000410409,0.000410409,0.000410409
38,4713.64,0.9522,0.73241,1.08362,0.88069,0.94043,0.95062,0.68573,0.91529,0.665,1.05391,0.000382115,0.000382115,0.000382115
39,4835.69,0.94517,0.70126,1.06379,0.90107,0.92489,0.9516,0.68664,0.92095,0.67379,1.04993,0.00035382,0.00035382,0.00035382
40,4957.89,0.95682,0.70281,1.07116,0.88236,0.94534,0.94948,0.68307,0.9239,0.69209,1.05295,0.000325526,0.000325526,0.000325526
41,5073.65,0.97323,0.84467,1.10003,0.86323,0.94216,0.93348,0.64522,1.04261,0.74887,1.10931,0.000297232,0.000297232,0.000297232
42,5185.75,0.94643,0.7662,1.06679,0.87562,0.93485,0.94221,0.66773,0.96386,0.67817,1.08203,0.000268938,0.000268938,0.000268938
43,5302.85,0.9119,0.71812,1.05901,0.86952,0.94284,0.94392,0.68037,0.93103,0.67491,1.06874,0.000240644,0.000240644,0.000240644
44,5424.75,0.90627,0.68248,1.05964,0.91179,0.92904,0.95077,0.68108,0.9307,0.65289,1.07166,0.000212349,0.000212349,0.000212349
45,5542.74,0.89928,0.66118,1.04441,0.9033,0.93445,0.95462,0.69084,0.9221,0.66917,1.06396,0.000184055,0.000184055,0.000184055
46,5663.87,0.89807,0.64979,1.04527,0.9092,0.92593,0.95653,0.69613,0.91129,0.64246,1.05603,0.000155761,0.000155761,0.000155761
47,5781.19,0.88962,0.65002,1.04839,0.89945,0.93525,0.95785,0.69548,0.90801,0.62901,1.0536,0.000127467,0.000127467,0.000127467
48,5899.85,0.88001,0.63089,1.04484,0.91278,0.92903,0.95873,0.69562,0.91465,0.6229,1.05551,9.91726e-05,9.91726e-05,9.91726e-05
49,6017.63,0.8787,0.63053,1.04132,0.92128,0.9236,0.96003,0.69983,0.90345,0.61458,1.04965,7.08784e-05,7.08784e-05,7.08784e-05
50,6135.67,0.87731,0.62603,1.03974,0.92832,0.92054,0.96105,0.70376,0.89223,0.61023,1.04405,4.25842e-05,4.25842e-05,4.25842e-05
